symbol,strategy,direction,entry_time,exit_time,entry_price,exit_price,r_achieved,exit_reason,setup_type,is_breakout_extension,bars_held,stages_done,leverage,stop_distance_pct,dynamic_threshold_active,drift_stop_tightened,soft_trim_done,soft_tighten_done,fee_interest_r_cost,net_r,dollar_pnl,dollar_running_total
ETH,conservative,short,2025-12-11 14:25:00,2025-12-11 21:30:00,3186.01,3262.2151165254504,-1.0,stop,breakout,True,85,0,7.0,0.02391866834236245,False,False,False,False,0.05543786890725501,-1.055437868907255,-26.385946722681375,222.4939003785877
ETH,conservative,long,2025-12-20 03:25:00,2025-12-22 15:25:00,2990.23,3042.2,0.8759358219543045,max_hold_time,breakout,True,720,1,7.0,0.019017366557087474,False,False,False,False,0.1675310822051031,0.7084047397492015,17.710118493730036,240.20401887231776
ETH,conservative,short,2026-01-09 14:40:00,2026-01-09 15:25:00,3072.73,3129.060785334111,-1.0,stop,breakout,True,9,0,7.0,0.01833248783137834,False,False,False,False,0.06436660484128526,-1.0643666048412852,-26.60916512103213,213.59485375128563
ETH,conservative,long,2026-01-27 02:55:00,2026-01-29 04:20:00,2945.25,2945.25,0.26664,stop,breakout,True,593,1,7.0,0.02273947969286797,False,False,False,False,0.1289387461631145,0.1377012538368855,3.4425313459221374,217.03738509720776
ETH,conservative,short,2026-01-29 11:55:00,2026-01-31 23:55:00,2929.29,2451.95,6.165346429590889,max_hold_time,breakout,True,720,1,7.0,0.01841785851496858,False,False,False,False,0.1729842803065661,5.992362149284323,149.80905373210805,366.84643882931584
ETH,conservative,short,2026-02-24 01:10:00,2026-02-24 15:20:00,1845.7,1845.7,0.26664,stop,breakout,True,170,1,7.0,0.024503911385215932,False,False,False,False,0.08512926639371365,0.18151073360628633,4.537768340157158,371.38420716947303
ETH,conservative,long,2026-03-12 14:10:00,2026-03-14 06:30:00,2080.21,2080.21,0.26664,stop,breakout,True,484,1,7.0,0.022759721491209067,False,False,False,False,0.11924574740724667,0.14739425259275332,3.684856314818833,375.06906348429186
ETH,conservative,long,2026-03-15 08:55:00,2026-03-17 20:55:00,2112.93,2327.88,5.342701364538889,max_hold_time,breakout,True,720,1,7.0,0.013361522013968034,False,False,False,False,0.23844588937318517,5.104255475165703,127.60638687914259,502.67545036343444
ETH,conservative,long,2026-03-18 03:25:00,2026-03-18 11:25:00,2339.8,2301.696,-1.0,stop,breakout,True,96,0,7.0,0.01628515257714346,False,False,False,False,0.08277478479949554,-1.0827747847994955,-27.069369619987388,475.606080743447
ETH,conservative,short,2026-03-20 13:55:00,2026-03-23 01:55:00,2127.39,2047.69,1.295871887909458,max_hold_time,breakout,True,720,1,7.0,0.02426768951626188,False,False,False,False,0.13128567504809424,1.1645862128613638,29.114655321534094,504.7207360649811
ETH,conservative,long,2026-03-25 00:40:00,2026-03-26 06:55:00,2165.13,2121.86,-0.8076711712428533,reversal,breakout,True,363,0,7.0,0.024743910490988317,False,False,False,False,0.07605911768414376,-0.883730288926997,-22.093257223174927,482.6274788418062
ETH,conservative,short,2026-04-02 13:40:00,2026-04-02 14:40:00,2020.33,2066.869569271709,-1.0,stop,breakout,True,12,0,7.0,0.02303562748249509,False,False,False,False,0.05122499922768282,-1.0512249992276828,-26.280624980692068,456.34685386111414
ETH,conservative,short,2026-04-03 00:40:00,2026-04-05 12:40:00,2053.41,2025.03,0.9858586756394694,max_hold_time,breakout,True,720,1,7.0,0.012811683979331938,False,False,False,False,0.24867925287102915,0.7371794227684403,18.429485569211007,474.77633943032515
ETH,conservative,short,2026-04-13 07:25:00,2026-04-13 14:40:00,2184.44,2219.3095504945863,-1.0,stop,breakout,True,87,0,7.0,0.015962695470961113,False,False,False,False,0.08331926161339723,-1.0833192616133973,-27.082981540334934,447.69335788999024
ETH,conservative,long,2026-04-14 13:55:00,2026-04-14 15:00:00,2391.5,2352.40524,-1.0,stop,breakout,True,13,0,7.0,0.01634738030524773,False,False,False,False,0.07230516314718402,-1.072305163147184,-26.8076290786796,420.8857288113106
ETH,conservative,long,2026-04-15 15:10:00,2026-04-16 13:50:00,2347.42,2306.1915,-1.0,stop,breakout,True,272,0,7.0,0.017563324841741217,False,False,False,False,0.09679260705579838,-1.0967926070557983,-27.419815176394955,393.4659136349157
ETH,conservative,short,2026-04-19 01:25:00,2026-04-21 13:25:00,2344.35,2307.78,1.0017859695330626,max_hold_time,breakout,True,720,1,7.0,0.014146838142768813,False,False,False,False,0.22520933425880263,0.77657663527426,19.4144158818565,412.8803295167722
ETH,conservative,long,2026-04-22 21:40:00,2026-04-22 23:30:00,2406.05,2380.617,-1.0,stop,breakout,True,22,0,7.0,0.010570437023337001,False,False,False,False,0.11352416152243153,-1.1135241615224316,-27.83810403806079,385.0422254787114
