symbol,strategy,direction,entry_time,exit_time,entry_price,exit_price,r_achieved,exit_reason,setup_type,is_breakout_extension,bars_held,stages_done,leverage,stop_distance_pct,dynamic_threshold_active,drift_stop_tightened,soft_trim_done,soft_tighten_done,used_real_cvd,fee_interest_r_cost,net_r,dollar_pnl,dollar_running_total,coin,use_adverse_drift,dynamic_threshold_enabled,drift_stop_tighten_enabled,obv_confirmation_bonus,soft_exit_enabled
SOL,conservative,short,2025-12-09 04:45:00,2025-12-09 15:15:00,132.42,133.5773970897609,-0.3105218764313917,stop,breakout,True,126,0,7.0,0.028147290838869424,False,True,False,False,False,0.05002257617119056,-0.3605444526025822,-9.013611315064555,61.077754425647825,SOL,True,False,True,0.0,False
SOL,conservative,long,2026-01-04 12:25:00,2026-01-04 18:15:00,134.76,134.23961369089437,-0.2491947469156922,stop,breakout,True,70,0,7.0,0.015496227255573763,False,True,False,False,False,0.08363325980095239,-0.3328280067166446,-8.320700167916115,52.75705425773171,SOL,True,False,True,0.0,False
SOL,conservative,short,2026-01-29 12:40:00,2026-01-30 06:40:00,122.68,113.38,2.9773522673071273,max_hold_time,breakout,True,216,2,7.0,0.011607270948809914,False,True,False,False,False,0.23847121448334946,2.738881052823778,68.47202632059445,121.22908057832616,SOL,True,False,True,0.0,False
SOL,conservative,short,2026-02-03 16:25:00,2026-02-03 20:30:00,100.36,100.36,0.26664,stop,breakout,True,49,1,7.0,0.03688383971434808,False,False,False,False,False,0.04999479485544643,0.21664520514455354,5.416130128613839,126.64521070694,SOL,True,False,True,0.0,False
SOL,conservative,short,2026-02-22 23:25:00,2026-02-23 06:30:00,82.73,78.6371507129582,2.249139067590718,stop,breakout,True,85,1,7.0,0.016637198251743892,False,True,False,False,False,0.11516362136269953,2.1339754462280185,53.349386155700465,179.99459686264046,SOL,True,False,True,0.0,False
SOL,conservative,short,2026-02-28 06:10:00,2026-02-28 13:45:00,81.22,79.45613574594242,1.3052335317373045,stop,breakout,True,91,1,7.0,0.013940778133464556,False,True,False,False,False,0.13829931023519232,1.1669342215021121,29.1733555375528,209.16795240019326,SOL,True,False,True,0.0,False
SOL,conservative,short,2026-03-07 02:40:00,2026-03-07 20:40:00,84.47,83.01,0.9087549152318718,max_hold_time,breakout,True,216,1,7.0,0.017946016337161145,False,True,False,False,False,0.12136398179299411,0.7873909334388777,19.684773335971943,228.8527257361652,SOL,True,False,True,0.0,False
SOL,conservative,long,2026-03-12 23:15:00,2026-03-13 06:25:00,87.0,88.5890466670413,1.069515830682895,stop,breakout,True,86,2,7.0,0.022587586206896538,False,True,False,False,False,0.11103444064484619,0.9584813900380487,23.962034750951215,252.81476048711642,SOL,True,False,True,0.0,False
SOL,conservative,long,2026-03-15 08:55:00,2026-03-15 13:35:00,88.5,87.63582708993968,-0.6440610391618043,stop,breakout,True,56,0,7.0,0.015161087314188477,False,True,False,False,False,0.08363516242092639,-0.7276962015827307,-18.192405039568268,234.62235544754816,SOL,True,False,True,0.0,False
SOL,conservative,long,2026-03-17 22:10:00,2026-03-18 00:20:00,95.46,94.42621145910005,-0.43018061331999913,stop,breakout,True,26,0,7.0,0.02517441860465098,False,True,False,False,False,0.04798521939953846,-0.4781658327195376,-11.95414581798844,222.66820962955973,SOL,True,False,True,0.0,False
